uid,species,latitude,longitude,EVI,NDVI,SAVI,VH,VV,VV_VH_ratio,elevation,slope,dewpoint_temperature_2m,evaporation_from_bare_soil,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,runoff,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snowfall,snowmelt,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,surface_latent_heat_flux,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,temperature_of_snow_layer,total_evaporation,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
5712,Musa,-4.0765548,39.4119787,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,249,5.402180172297018,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
5696,Eucalyptus,-4.076513,39.4119863,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,249,5.402180172297018,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
5699,Musa,-4.0765105,39.4119801,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,248,4.149016309504195,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
5705,Musa,-4.0764864,39.4119135,0.337275208172976,0.1917644718519992,0.28761810044753855,-17.988127156960164,-12.095572631450079,0.672419787002113,248,4.149016309504195,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
5695,Musa,-4.076391,39.4121397,0.42616961657148933,0.24477946419476418,0.3671317987370136,-19.767005112366974,-14.03623011842777,0.7100838006889664,245,3.8275682730665275,293.4872131347656,-0.0010154912985550861,-0.00041224291392912466,-0.0004662126302719116,3.8805107275644936e-11,0.18554243569572768,297.5016276041667,-273.15,4.221598309565403e-05,19.954427083333332,298.0855305989583,-272.44599132140485,24.676131184895855,1.98388671875,2.4862263997395835,-0.006442731556793054,6.3121939698855085e-06,6.245325009028115e-05,299.863712310791,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.49089940388996,300.4425977071126,300.35666529337567,300.4080187479655,1.3474685450394948e-06,-4736382.333333333,14457187.923746744,-4068236.5833333335,98941.16145833333,4.96332844098409e-06,-5446613.166666667,17765777.861653645,29147968.083333332,298.23535410563153,273.1601740519206,-0.0018939465905229251,0.0016101229443847842,-0.6549410820007324,1.4955012798309326,0.13089116414388022,0.11181386311848958,0.0875091552734375,0.1314417521158854
5665,Acacia,-4.0006126,39.3975862,0.230884712947145,0.15016835016835017,0.22523356619813145,-19.732621748177316,-14.529465844951835,0.7363170505355634,188,3.9336274829746625,293.69798787434894,-0.0008594921673648059,-0.000379395904019475,-0.0004316775787932177,3.8805107275644936e-11,0.195358923325936,297.5166829427083,-273.15,4.221598309565403e-05,22.59733072916666,297.7591959635417,-272.46891192992535,24.528670247395855,1.3978169759114583,2.41900634765625,-0.007274525550504525,1.3134907931089401e-05,4.7061592340469326e-05,299.7081133524577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.20737075805664,300.184622446696,300.154354095459,300.1848742167155,4.550442099571228e-06,-4177750.0833333335,14135473.423746744,-4020382.4166666665,99388.328125,8.584310611089071e-06,-5755370.5,17596281.69498698,29121539.416666668,298.40592702229816,273.1601740519206,-0.001670565572567284,0.0014353587110538986,-0.6518486340840658,1.5015641053517659,0.17122395833333334,0.1593805948893229,0.1385065714518229,0.17119598388671875
5667,Acacia,-4.0006117,39.3975765,0.230884712947145,0.15016835016835017,0.22523356619813145,-19.732621748177316,-14.529465844951835,0.7363170505355634,188,3.9336274829746625,293.69798787434894,-0.0008594921673648059,-0.000379395904019475,-0.0004316775787932177,3.8805107275644936e-11,0.195358923325936,297.5166829427083,-273.15,4.221598309565403e-05,22.59733072916666,297.7591959635417,-272.46891192992535,24.528670247395855,1.3978169759114583,2.41900634765625,-0.007274525550504525,1.3134907931089401e-05,4.7061592340469326e-05,299.7081133524577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.20737075805664,300.184622446696,300.154354095459,300.1848742167155,4.550442099571228e-06,-4177750.0833333335,14135473.423746744,-4020382.4166666665,99388.328125,8.584310611089071e-06,-5755370.5,17596281.69498698,29121539.416666668,298.40592702229816,273.1601740519206,-0.001670565572567284,0.0014353587110538986,-0.6518486340840658,1.5015641053517659,0.17122395833333334,0.1593805948893229,0.1385065714518229,0.17119598388671875
6043,Acacia,-4.000412,39.3985954,0.31733366069236435,0.19884615384615384,0.2982405537929045,-17.872595375789984,-12.988310517302587,0.7267165313268606,188,3.704791833623834,293.69798787434894,-0.0008594921673648059,-0.000379395904019475,-0.0004316775787932177,3.8805107275644936e-11,0.195358923325936,297.5166829427083,-273.15,4.221598309565403e-05,22.59733072916666,297.7591959635417,-272.46891192992535,24.528670247395855,1.3978169759114583,2.41900634765625,-0.007274525550504525,1.3134907931089401e-05,4.7061592340469326e-05,299.7081133524577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.20737075805664,300.184622446696,300.154354095459,300.1848742167155,4.550442099571228e-06,-4177750.0833333335,14135473.423746744,-4020382.4166666665,99388.328125,8.584310611089071e-06,-5755370.5,17596281.69498698,29121539.416666668,298.40592702229816,273.1601740519206,-0.001670565572567284,0.0014353587110538986,-0.6518486340840658,1.5015641053517659,0.17122395833333334,0.1593805948893229,0.1385065714518229,0.17119598388671875
5680,Acacia,-4.0003982,39.3985974,0.31733366069236435,0.19884615384615384,0.2982405537929045,-17.872595375789984,-12.988310517302587,0.7267165313268606,188,3.704791833623834,293.69798787434894,-0.0008594921673648059,-0.000379395904019475,-0.0004316775787932177,3.8805107275644936e-11,0.195358923325936,297.5166829427083,-273.15,4.221598309565403e-05,22.59733072916666,297.7591959635417,-272.46891192992535,24.528670247395855,1.3978169759114583,2.41900634765625,-0.007274525550504525,1.3134907931089401e-05,4.7061592340469326e-05,299.7081133524577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.20737075805664,300.184622446696,300.154354095459,300.1848742167155,4.550442099571228e-06,-4177750.0833333335,14135473.423746744,-4020382.4166666665,99388.328125,8.584310611089071e-06,-5755370.5,17596281.69498698,29121539.416666668,298.40592702229816,273.1601740519206,-0.001670565572567284,0.0014353587110538986,-0.6518486340840658,1.5015641053517659,0.17122395833333334,0.1593805948893229,0.1385065714518229,0.17119598388671875
5652,Acacia,-3.9997049,39.3982666,0.3458107910513233,0.19966230476994512,0.29946185501741057,-18.06747946848543,-12.738222075712127,0.7050359236843762,190,1.3130425884476133,293.69798787434894,-0.0008594921673648059,-0.000379395904019475,-0.0004316775787932177,3.8805107275644936e-11,0.195358923325936,297.5166829427083,-273.15,4.221598309565403e-05,22.59733072916666,297.7591959635417,-272.46891192992535,24.528670247395855,1.3978169759114583,2.41900634765625,-0.007274525550504525,1.3134907931089401e-05,4.7061592340469326e-05,299.7081133524577,0.8800004323323568,0,99.99998474121094,-7.3453647229951e-24,-7.345364920210326e-25,2.9103830456733704e-11,0,0.0,300.20737075805664,300.184622446696,300.154354095459,300.1848742167155,4.550442099571228e-06,-4177750.0833333335,14135473.423746744,-4020382.4166666665,99388.328125,8.584310611089071e-06,-5755370.5,17596281.69498698,29121539.416666668,298.40592702229816,273.1601740519206,-0.001670565572567284,0.0014353587110538986,-0.6518486340840658,1.5015641053517659,0.17122395833333334,0.1593805948893229,0.1385065714518229,0.17119598388671875
