uid,species,latitude,longitude
3858,Acacia,-0.096426,34.8416833
3871,Acacia,-0.0963879,34.8416093
3875,Acacia,-0.0963573,34.8422028
3877,Acacia,-0.096317,34.8421947
3882,Acacia,-0.0963074,34.8423974
3876,Acacia,-0.0962645,34.8418897
3880,Acacia,-0.0962464,34.8421316
3874,Acacia,-0.0962169,34.8418458
3881,Acacia,-0.0961701,34.8420998
3884,Acacia,-0.0961495,34.842245
3883,Acacia,-0.096086,34.8419707
3896,Grevillea,-0.0950737,34.9304015
3900,Grevillea,-0.0950684,34.9306928
3903,Grevillea,-0.0950629,34.9305547
3914,Eucalyptus,-0.0950619,34.9307385
3891,Musa,-0.095061,34.9306231
3912,Musa,-0.0950595,34.9302553
3908,Grevillea,-0.095048,34.9305789
3894,Musa,-0.0950416,34.930566
3893,Musa,-0.0950177,34.9303416
3906,Grevillea,-0.0950029,34.9307024
3897,Musa,-0.0949911,34.9306561
3557,Eucalyptus,-0.0949783,34.3105833
3916,Grevillea,-0.094978,34.9302156
3902,Musa,-0.0949755,34.9303267
3909,Eucalyptus,-0.0949343,34.9306946
3913,Grevillea,-0.0949296,34.9302855
3540,Musa,-0.0948744,34.3107046
3544,Musa,-0.0948349,34.3107807
3537,Grevillea,-0.0947325,34.3106766
3530,Grevillea,-0.0946933,34.310645
3636,Acacia,-0.0889677,34.4648344
3499,Eucalyptus,-0.0888433,34.4647243
3488,Musa,-0.0887303,34.4652681
3496,Musa,-0.0886612,34.4652337
3525,Eucalyptus,-0.0886566,34.4650227
3490,Musa,-0.0886382,34.4649301
3500,Musa,-0.0886327,34.4650376
3498,Musa,-0.0886284,34.4650686
3483,Eucalyptus,-0.0886244,34.4649974
3493,Grevillea,-0.0886091,34.4649164
3503,Musa,-0.0885916,34.4651604
3522,Eucalyptus,-0.0885647,34.4650846
3524,Musa,-0.0885637,34.4651261
3479,Eucalyptus,-0.0884594,34.4650176
3833,Eucalyptus,-0.087546,34.8335628
3836,Eucalyptus,-0.0875195,34.8335789
3828,Eucalyptus,-0.0874819,34.8339085
3834,Eucalyptus,-0.0873726,34.8334975
3809,Eucalyptus,-0.0873725,34.8336292
3830,Eucalyptus,-0.0873699,34.8336394
3832,Acacia,-0.0873688,34.8336896
3823,Eucalyptus,-0.0873141,34.8337515
3827,Eucalyptus,-0.0873002,34.8335038
3826,Eucalyptus,-0.087248,34.8336793
3817,Eucalyptus,-0.0870896,34.8335625
3814,Eucalyptus,-0.0870832,34.8335379
3819,Eucalyptus,-0.0869295,34.8335404
3821,Eucalyptus,-0.0868574,34.8336417
1117,Acacia,-0.0814992,36.6309881
1116,Acacia,-0.0811594,36.6310588
3292,Acacia,-0.0809501,36.6304571
3297,Acacia,-0.0809417,36.6305717
3294,Acacia,-0.0809362,36.6305703
3290,Acacia,-0.0809277,36.6303414
3296,Acacia,-0.0809181,36.6306463
3295,Acacia,-0.0809012,36.6304803
3273,Acacia,-0.0808641,36.6307314
1115,Acacia,-0.0808289,36.6310591
3291,Acacia,-0.0807904,36.6306368
3288,Acacia,-0.0807872,36.6305762
3272,Acacia,-0.0807507,36.6306957
3285,Acacia,-0.0806764,36.6305049
3289,Acacia,-0.0805896,36.6300575
3286,Acacia,-0.0804898,36.6301322
3284,Acacia,-0.080472,36.6303178
3924,Eucalyptus,-0.0804555,34.9759106
3271,Acacia,-0.0804545,36.6307365
3287,Acacia,-0.0804498,36.6299561
3283,Acacia,-0.0804489,36.6307367
3293,Acacia,-0.0804423,36.6302051
3270,Acacia,-0.0803677,36.6309201
3928,Eucalyptus,-0.0803504,34.9758591
3281,Acacia,-0.0803179,36.6307913
3269,Acacia,-0.0803082,36.6307944
3282,Acacia,-0.0802781,36.630446
3280,Acacia,-0.0802187,36.6303437
1114,Acacia,-0.0801839,36.6312488
3267,Acacia,-0.0801643,36.6309894
3268,Acacia,-0.0801589,36.6309013
3266,Acacia,-0.0800789,36.631056
3278,Acacia,-0.0800735,36.6304733
1113,Acacia,-0.0800732,36.6313631
3279,Acacia,-0.0800621,36.6307705
3263,Acacia,-0.0800583,36.63101
2019,Acacia,-0.0800495,36.6298262
3933,Grevillea,-0.0800286,34.9756999
1111,Acacia,-0.080017,36.6312689
1112,Acacia,-0.0800024,36.6313591
3275,Acacia,-0.079949,36.6307105
3276,Acacia,-0.0799305,36.6305769
3277,Acacia,-0.0798372,36.630916
3265,Acacia,-0.0797981,36.6310887
3919,Acacia,-0.0797686,34.9762376
1110,Acacia,-0.079764,36.6313907
3923,Acacia,-0.0796312,34.9760016
3918,Acacia,-0.0795064,34.9758165
3790,Grevillea,-0.0579508,34.6560887
3784,Eucalyptus,-0.0578987,34.6560536
3789,Grevillea,-0.0577573,34.6559955
3786,Eucalyptus,-0.057698,34.6560364
3783,Eucalyptus,-0.0576901,34.6560846
3778,Grevillea,-0.0576729,34.6558776
3782,Grevillea,-0.057665,34.65587
3779,Musa,-0.0575683,34.6561609
3611,Acacia,-0.0536657,34.1289556
3612,Acacia,-0.0536217,34.1288759
3605,Acacia,-0.0536193,34.1291981
3610,Acacia,-0.053603,34.1290954
3613,Acacia,-0.0535642,34.1287231
3614,Acacia,-0.0534856,34.1286927
3601,Acacia,-0.0534456,34.129213
3596,Acacia,-0.0534017,34.1292667
3609,Acacia,-0.05333,34.128935
3602,Acacia,-0.0533039,34.1288067
3597,Acacia,-0.0533033,34.12876
3592,Acacia,-0.0533007,34.1287431
3591,Acacia,-0.0532947,34.129275
3594,Acacia,-0.0532947,34.1287049
3590,Acacia,-0.0532349,34.1286536
3600,Acacia,-0.0532324,34.1287684
3585,Acacia,-0.0532236,34.1285942
3608,Acacia,-0.0532108,34.1287731
3615,Acacia,-0.0532031,34.1290228
3584,Acacia,-0.0531888,34.1291693
3581,Acacia,-0.0531774,34.1291209
3604,Acacia,-0.0531523,34.1288448
3595,Acacia,-0.0531286,34.1287286
3599,Acacia,-0.0531274,34.1287348
3603,Acacia,-0.0531061,34.1287925
3576,Acacia,-0.0530833,34.1290017
3589,Acacia,-0.0530825,34.1287114
3586,Acacia,-0.0530573,34.1286857
3582,Acacia,-0.0529918,34.1284289
3580,Acacia,-0.0529736,34.1285767
3575,Acacia,-0.0529646,34.1285985
3570,Acacia,-0.05295,34.1289933
3572,Acacia,-0.0529105,34.1285556
3573,Acacia,-0.0529084,34.1288137
3577,Acacia,-0.0529083,34.12882
3568,Acacia,-0.0528965,34.1286567
3567,Acacia,-0.052838,34.128795
3564,Acacia,-0.0528346,34.1289051
3563,Acacia,-0.0528269,34.1287605
3565,Acacia,-0.052772,34.1287453
3560,Acacia,-0.0527683,34.1287067
3569,Acacia,-0.0527482,34.1288496
3574,Acacia,-0.0527428,34.1286432
3566,Acacia,-0.0527389,34.1286903
3562,Acacia,-0.0527338,34.1286983
3578,Acacia,-0.0527335,34.1286381
3558,Acacia,-0.0527314,34.1287251
3571,Acacia,-0.0527041,34.1286188
3559,Acacia,-0.0526572,34.1287531
3623,Acacia,-0.0295868,34.0222921
3621,Acacia,-0.0295606,34.0224205
3617,Acacia,-0.0294812,34.0224114
3635,Acacia,-0.0292472,34.0221039
1565,Eucalyptus,-0.0255474,36.3612998
1566,Eucalyptus,-0.0254731,36.3611928
1535,Acacia,-0.0253636,36.3613083
1547,Acacia,-0.0253276,36.3613256
1560,Acacia,-0.0253153,36.3611739
1537,Acacia,-0.0252571,36.3605436
1546,Acacia,-0.0252138,36.3614139
1536,Acacia,-0.0251478,36.3610185
1549,Acacia,-0.0251075,36.3613767
1548,Acacia,-0.0250084,36.361368
1513,Acacia,-0.0249736,36.3612745
1514,Acacia,-0.024952,36.3613178
1550,Acacia,-0.0249476,36.3610989
1552,Acacia,-0.0249223,36.3609468
1515,Acacia,-0.0248484,36.3612619
1553,Acacia,-0.0248242,36.360715
1516,Acacia,-0.024801,36.3613161
1551,Acacia,-0.0246866,36.3610409
1591,Eucalyptus,-0.0246789,36.3607186
1517,Acacia,-0.0245854,36.3614019
1554,Acacia,-0.0245618,36.3610508
1555,Acacia,-0.0245267,36.3607346
1518,Acacia,-0.0242817,36.361065
1557,Acacia,-0.0242433,36.3606966
1556,Acacia,-0.0241418,36.3611004
1519,Acacia,-0.02414,36.3608674
1559,Acacia,-0.0240944,36.3604524
1558,Acacia,-0.0239579,36.3612197
2469,Grevillea,-0.0184999,37.7818205
2470,Grevillea,-0.018469,37.7817812
2128,Grevillea,-0.0183787,37.7814206
2127,Grevillea,-0.0182505,37.7813829
2308,Grevillea,-0.0180614,37.7811456
2307,Grevillea,-0.0179701,37.7812917
1405,Musa,-0.0178883,37.7817139
2306,Grevillea,-0.0178185,37.7813302
1108,Acacia,-0.0160585,37.7826909
1109,Acacia,-0.0160079,37.7828256
1107,Acacia,-0.0159407,37.7828099
2240,Grevillea,-0.0159185,37.7829292
2558,Grevillea,-0.0159098,37.7827026
2560,Grevillea,-0.0158591,37.7828621
2559,Grevillea,-0.0158506,37.7827045
2468,Grevillea,-0.0158097,37.7830606
2430,Grevillea,-0.0157699,37.7827238
2126,Grevillea,-0.0156765,37.7828755
2305,Grevillea,-0.0156758,37.7829196
2467,Grevillea,-0.0156415,37.7828234
1499,Musa,-0.0006212,37.6542484
2111,Grevillea,-0.0006181,37.6542515
2285,Grevillea,-0.000598,37.6543474
1333,Musa,-0.0005201,37.6541628
2452,Grevillea,-0.0005123,37.6540917
2453,Grevillea,-0.0004916,37.6540903
2112,Grevillea,-0.0004756,37.6542315
1391,Musa,-0.0004392,37.6542371
2420,Grevillea,-0.0004383,37.6540416
1334,Musa,-0.000436,37.654074
2286,Grevillea,-0.0004115,37.6542016
2421,Grevillea,-0.0003964,37.6540385
1392,Musa,-0.0003554,37.6541396
1338,Musa,-0.0003535,37.6539936
1335,Musa,-0.0003433,37.6541725
1336,Musa,-0.0003409,37.6541364
1337,Musa,-0.0003406,37.6539597
1393,Musa,-0.0003386,37.6542167
1394,Musa,-0.0002747,37.6541551
2287,Grevillea,-0.0002595,37.6541374
1500,Musa,-0.0002538,37.6542417
1395,Musa,-0.0002009,37.6540995
2451,Grevillea,-0.0001878,37.6541057
1339,Musa,-0.0001781,37.6540769
2113,Grevillea,-0.0001675,37.6541854
1396,Musa,-0.0001513,37.6541986
1524,Acacia,-0.0001497,37.6542683
4053,Musa,0.0016804,34.720487
4054,Musa,0.001727,34.7205553
4049,Musa,0.0017468,34.7203408
4044,Musa,0.001775,34.7203035
4056,Grevillea,0.0017817,34.7205267
4040,Musa,0.0018288,34.720387
4039,Musa,0.0018302,34.7203192
4037,Musa,0.0018372,34.7202854
4042,Musa,0.0018521,34.7203281
4031,Musa,0.0018773,34.7202329
4041,Musa,0.0019144,34.7201643
4030,Musa,0.0019445,34.7201768
4035,Musa,0.0019457,34.7201978
4029,Eucalyptus,0.0020026,34.7202996
2117,Grevillea,0.0158793,37.7007481
2118,Grevillea,0.0159061,37.7009558
1613,Eucalyptus,0.0159743,37.7007609
1403,Musa,0.0160769,37.7008172
2116,Grevillea,0.01611,37.7008839
2458,Grevillea,0.0162417,37.7009189
2456,Grevillea,0.0162513,37.700953
2425,Grevillea,0.0162865,37.7010632
2294,Grevillea,0.0162894,37.7004925
1343,Musa,0.0163158,37.7005732
2424,Grevillea,0.0163231,37.701071
2457,Grevillea,0.0163762,37.7007915
2455,Grevillea,0.0163775,37.7011929
2423,Grevillea,0.016396,37.7010855
2295,Grevillea,0.0164368,37.700807
2549,Grevillea,0.0164916,37.7012778
1344,Musa,0.0164918,37.7009408
1404,Musa,0.0165017,37.7010514
2296,Grevillea,0.0165259,37.7008419
2556,Grevillea,0.0184916,37.7020783
2462,Grevillea,0.0185275,37.7030063
2428,Grevillea,0.0185783,37.7030987
3105,Acacia,0.0185833,36.467915
2463,Grevillea,0.0186082,37.7030884
2557,Grevillea,0.0186478,37.7021495
3111,Acacia,0.0186585,36.4678377
2555,Grevillea,0.0186735,37.7019936
2427,Grevillea,0.0187079,37.7027253
2464,Grevillea,0.0187681,37.7028498
2465,Grevillea,0.0188375,37.7028384
2466,Grevillea,0.0188392,37.7029063
2429,Grevillea,0.0188933,37.7028138
3110,Acacia,0.0189105,36.467842
3262,Acacia,0.0189375,36.4684085
3261,Acacia,0.0189686,36.4682298
3254,Acacia,0.0190406,36.4675964
3107,Acacia,0.0190559,36.4669913
3054,Acacia,0.0190642,36.4672703
3055,Acacia,0.0190874,36.4672644
3222,Acacia,0.0191226,36.4675531
3108,Acacia,0.0192359,36.467664
3109,Acacia,0.0192371,36.4677677
3106,Acacia,0.0192695,36.4676398
3114,Acacia,0.0192722,36.4669913
3113,Acacia,0.0193621,36.4671412
3112,Acacia,0.0193809,36.4674233
2461,Grevillea,0.0194595,37.7023544
2459,Grevillea,0.0195021,37.7025178
2554,Grevillea,0.0195246,37.7025909
2120,Grevillea,0.0195453,37.7023528
2552,Grevillea,0.0195819,37.7024543
2553,Grevillea,0.0195901,37.7025368
2119,Grevillea,0.0196083,37.7024245
2426,Grevillea,0.0196494,37.7022905
