uid,species,latitude,longitude,EVI,NDVI,SAVI
2389,Grevillea,-0.5607687,37.0345417,1.6443157573910394,0.7098684210526316,1.064627528367045
3018,Eucalyptus,-0.5607583,37.0344867,1.6443157573910394,0.7098684210526316,1.064627528367045
2201,Grevillea,-0.5607507,37.0342611,1.8002562642369022,0.7569589943130799,1.1352685919497232
3025,Eucalyptus,-0.5607447,37.0344116,1.8002562642369022,0.7569589943130799,1.1352685919497232
3026,Eucalyptus,-0.5607186,37.0343767,1.8002562642369022,0.7569589943130799,1.1352685919497232
2202,Grevillea,-0.5607167,37.0343769,1.8002562642369022,0.7569589943130799,1.1352685919497232
3039,Eucalyptus,-0.5607161,37.0347253,1.6443157573910394,0.7098684210526316,1.064627528367045
3023,Eucalyptus,-0.5607017,37.0343629,1.8002562642369022,0.7569589943130799,1.1352685919497232
1481,Musa,-0.560685,37.034625,1.6443157573910394,0.7098684210526316,1.064627528367045
3019,Eucalyptus,-0.560662,37.0345453,1.6443157573910394,0.7098684210526316,1.064627528367045
3021,Eucalyptus,-0.5606596,37.0345041,1.6443157573910394,0.7098684210526316,1.064627528367045
2517,Grevillea,-0.5606467,37.0348302,1.9470293486041519,0.7795930065921467,1.1692219515689928
3020,Eucalyptus,-0.5606386,37.0345203,1.6443157573910394,0.7098684210526316,1.064627528367045
1362,Musa,-0.5605996,37.0344554,1.8002562642369022,0.7569589943130799,1.1352685919497232
1384,Musa,-0.5605981,37.0344715,1.8002562642369022,0.7569589943130799,1.1352685919497232
3027,Eucalyptus,-0.5605834,37.0342775,1.8002562642369022,0.7569589943130799,1.1352685919497232
3028,Eucalyptus,-0.5605752,37.0343836,1.8002562642369022,0.7569589943130799,1.1352685919497232
2204,Grevillea,-0.5605607,37.0343936,1.8002562642369022,0.7569589943130799,1.1352685919497232
1527,Acacia,-0.5605583,37.034635,1.6443157573910394,0.7098684210526316,1.064627528367045
2203,Grevillea,-0.5605339,37.0343597,1.1832755386277074,0.5895765472312704,0.8842395921835173
1482,Musa,-0.5605205,37.0343478,1.1832755386277074,0.5895765472312704,0.8842395921835173
2391,Grevillea,-0.5604665,37.034488,1.2119313538545355,0.5679816162389889,0.8518636711769212
2392,Grevillea,-0.5604241,37.0344021,1.1832755386277074,0.5895765472312704,0.8842395921835173
3373,Eucalyptus,-0.5573895,34.6423208,1.0721750891429975,0.5453408380237649,0.8178833828357043
3384,Eucalyptus,-0.5572333,34.642225,2.027823983063662,0.7823803967327888,1.173399445821788
3378,Eucalyptus,-0.5572283,34.6422083,2.027823983063662,0.7823803967327888,1.173399445821788
3375,Eucalyptus,-0.5572254,34.6422134,2.027823983063662,0.7823803967327888,1.173399445821788
3381,Eucalyptus,-0.5572217,34.642215,2.027823983063662,0.7823803967327888,1.173399445821788
3372,Eucalyptus,-0.5571404,34.6422475,2.027823983063662,0.7823803967327888,1.173399445821788
3388,Eucalyptus,-0.5571321,34.6425355,1.5228697159621283,0.6570771001150748,0.985473896159931
3371,Eucalyptus,-0.5571282,34.6423923,2.027823983063662,0.7823803967327888,1.173399445821788
3383,Eucalyptus,-0.5570975,34.6425492,1.5228697159621283,0.6570771001150748,0.985473896159931
3370,Eucalyptus,-0.5570698,34.6422215,2.027823983063662,0.7823803967327888,1.173399445821788
3392,Eucalyptus,-0.5570387,34.6424214,1.8516966904063679,0.7445255474452555,1.1166315789473684
3379,Eucalyptus,-0.5569867,34.6423767,1.8516966904063679,0.7445255474452555,1.1166315789473684
3376,Eucalyptus,-0.5569798,34.6423813,1.8516966904063679,0.7445255474452555,1.1166315789473684
3387,Eucalyptus,-0.556965,34.6424217,1.8516966904063679,0.7445255474452555,1.1166315789473684
3382,Eucalyptus,-0.5569624,34.6423971,1.8516966904063679,0.7445255474452555,1.1166315789473684
3386,Eucalyptus,-0.55696,34.6424067,1.8516966904063679,0.7445255474452555,1.1166315789473684
3394,Eucalyptus,-0.5569245,34.6425129,1.9720539647577093,0.7804412966494143,1.1705025194062373
